,Author,File_ID,File_Name,Mean Sentiment,Year,Useful?
48,Breyer,48,BE&K Constr. Co. v NLRB.txt,-0.149642857,2002,
309,Breyer,309,"Midland Funding, LLC v Johnson.txt",-0.148249027,2017,
189,Breyer,189,Giles v California.txt,-0.147437888,2008,
144,Breyer,144,Duncan v Walker.txt,-0.145705521,2001,
442,Breyer,442,Stogner v California.txt,-0.140734266,2003,
282,Breyer,282,Marinello v US.txt,-0.140384615,2018,
469,Breyer,469,US v Alvarez.txt,-0.139555556,2012,
285,Breyer,285,Mathis v US.txt,-0.125692308,2016,
346,Breyer,346,O'Gilvie v US.txt,-0.121223022,1996,
74,Breyer,74,Burlington Northern & Santa Fe Ry. v White.txt,-0.120360825,2006,
432,Breyer,432,Smith v Spisak.txt,-0.118690476,2010,
519,Breyer,519,White v Woodall.txt,-0.117532468,2014,
381,Breyer,381,Raines v Byrd.txt,-0.116791045,1997,
131,Breyer,131,Demore v Hyung Joon Kim.txt,-0.107377049,2003,
56,Breyer,56,BMW of N. Am. v Gore.txt,-0.107042254,1996,
211,Breyer,211,Harris v US.txt,-0.102678571,2002,
61,Breyer,61,Bower v Texas.txt,-0.10106383,2015,
448,Breyer,448,Texas v Cobb.txt,-0.100346021,2001,
23,Breyer,23,Archer v Warner.txt,-0.099166667,2003,
394,Breyer,394,Richardson v US.txt,-0.09893617,1999,
97,Breyer,97,City of Chi. v Morales.txt,-0.098387097,1999,
214,Breyer,214,"Hemi Group, LLC, v City of New York.txt",-0.097961957,2010,
352,Breyer,352,"Oil States Energy Servs., LLC v Greene's Energy Grp., LLC.txt",-0.09375,2011,
530,Breyer,530,Wis. Dep't of Corr. v Schacht.txt,-0.091935484,1998,
215,Breyer,215,Henderson v US.txt,-0.0890625,2013,
209,Breyer,209,Hamdan v Rumsfeld.txt,-0.088636364,2006,
413,Breyer,413,Saratoga Fishing Co. v J.M. Martinac & Co..txt,-0.088311688,1997,
329,Breyer,329,Muscarello v US.txt,-0.087017544,1998,
399,Breyer,399,Robers v US.txt,-0.084285714,2014,
477,Breyer,477,US v Flores-Montano.txt,-0.083333333,2004,
80,Breyer,80,"Carlsbad Tech., Inc. v HIF Bio, Inc..txt",-0.08125,2009,
17,Breyer,17,Am. Trucking Ass'ns v Mich. PSC.txt,-0.08120155,2005,
423,Breyer,423,Setser v US.txt,-0.08015873,2012,
512,Breyer,512,Wallace v Kato.txt,-0.079047619,2007,
456,Breyer,456,Tory v Cochran.txt,-0.078977273,2005,
478,Breyer,478,US v Gonzales.txt,-0.078723404,1997,
236,Breyer,236,Illinois v McArthur.txt,-0.078545455,2001,
255,Breyer,255,Kasten v Saint-Gobain Performance Plastics Corp..txt,-0.078304239,2011,
103,Breyer,103,Clark v Arizona.txt,-0.077777778,2006,
374,Breyer,374,Pliler v Ford.txt,-0.075909091,2004,
45,Breyer,45,Bd. of the Cnty. Comm'rs v Brown.txt,-0.069911504,1997,
344,Breyer,344,Nynex Corp. v Discon.txt,-0.06790393,1998,
407,Breyer,407,S. Union Co. v US.txt,-0.066753927,2012,
109,Breyer,109,Coleman v Tollefson.txt,-0.065343915,2015,
253,Breyer,253,Kansas v Crane.txt,-0.065217391,2002,
426,Breyer,426,Shinseki v Sanders.txt,-0.064949749,2009,
207,Breyer,207,Hall v US.txt,-0.063504823,2012,
532,Breyer,532,Woodford v Ngo.txt,-0.059722222,2006,
88,Breyer,88,Chamber of Commerce of the United States v Whiting.txt,-0.056279621,1998,
458,Breyer,458,Trest v Cain.txt,-0.056018519,1997,
438,Breyer,438,Std. Fire Ins. Co. v Knowles.txt,-0.055921053,2013,
307,Breyer,307,Mid-Con Freight Sys. v Mich. PSC.txt,-0.055179283,2005,
259,Breyer,259,Kiobel v Royal Dutch Petro. Co..txt,-0.053314917,2013,
235,Breyer,235,Illinois v Lidster.txt,-0.04902439,2004,
104,Breyer,104,Class v US.txt,-0.047492163,2018,
540,Breyer,540,Zadvydas v Davis.txt,-0.046213592,2001,
495,Breyer,495,US v Tinklenberg.txt,-0.043248175,2007,
411,Breyer,411,Sandin v Conner.txt,-0.043181818,1995,
440,Breyer,440,Stenberg v Carhart.txt,-0.040696023,2000,
296,Breyer,296,"Medtronic, Inc. v Mirowski Family Ventures, LLC.txt",-0.040634921,2014,
86,Breyer,86,Chadbourne & Parke LLP v Troice.txt,-0.037971698,2014,
323,Breyer,323,Montejo v Louisiana.txt,-0.037837838,2009,
484,Breyer,484,US v Labonte.txt,-0.036904762,1997,
19,Breyer,19,Angelone v Bennett.txt,-0.034375,1996,
490,Breyer,490,US v Patane.txt,-0.034375,2004,
129,Breyer,129,Deck v Missouri.txt,-0.033806818,2007,
375,Breyer,375,"Polar Tankers, Inc. v City of Valdez.txt",-0.033284457,2009,
231,Breyer,231,Hudson v Michigan.txt,-0.031691773,2006,
152,Breyer,152,Egelhoff v Egelhoff.txt,-0.029207921,2001,
531,Breyer,531,Wittman v Personhuballah.txt,-0.028819444,2016,
237,Breyer,237,In re United States.txt,-0.028780488,2017,
150,Breyer,150,Edwards v Carpenter.txt,-0.028089888,2000,
226,Breyer,226,Hollingsworth v Perry.txt,-0.027272727,2010,
188,Breyer,188,Georgia v Randolph.txt,-0.025609756,2006,
317,Breyer,317,Minneci v Pollard.txt,-0.02394958,2012,
371,Breyer,371,Planned Parenthood of Greater Tex. Surgical Health Servs. v Abbott.txt,-0.023,2013,
312,Breyer,312,Miller v French.txt,-0.022820513,2000,
181,Breyer,181,Fry v Pliler.txt,-0.022727273,2007,
387,Breyer,387,Reno v Bossier Parish Sch. Bd..txt,-0.020338983,1997,
254,Breyer,254,Kansas v Hendricks.txt,-0.019740634,1997,
466,Breyer,466,Tyler v Cain.txt,-0.017460317,2001,
208,Breyer,208,"Halo Elecs., Inc. v Pulse Elecs., Inc..txt",-0.017,2016,
534,Breyer,534,Wyeth v Levine.txt,-0.0125,2009,
187,Breyer,187,Geier v Am. Honda Motor Co..txt,-0.011170213,2000,
190,Breyer,190,Gitlitz v Comm'r.txt,-0.01,2001,
84,Breyer,84,"Cedric Kushner Promotions, Ltd. v King.txt",-0.009943182,2001,
504,Breyer,504,Van de Kamp v Goldstein.txt,-0.009440559,2009,
32,Breyer,32,Atherton v FDIC.txt,-0.00938914,1997,
218,Breyer,218,Herring v US.txt,-0.005769231,2009,
138,Breyer,138,Doe v Chao.txt,-0.004878049,2004,
174,Breyer,174,Flores-Figueroa v US.txt,-0.004846939,2009,
124,Breyer,124,Daniels v US.txt,-0.003,2001,
360,Breyer,360,Overton v Ohio.txt,-0.002906977,2001,
47,Breyer,47,Bd. of Trs. v Garrett.txt,-0.00239521,2001,
102,Breyer,102,Clapper v Amnesty Int'l USA.txt,-0.001264591,2013,
266,Breyer,266,L.A. County v Humphries.txt,-0.001090909,2010,
480,Breyer,480,US v Hays.txt,0,1995,
44,Breyer,44,Bd. of Educ. v Earls.txt,1.30E-17,2002,
140,Breyer,140,Dolan v US.txt,0.000527704,2010,
409,Breyer,409,Salinas v Texas.txt,0.001737968,2013,
230,Breyer,230,Howsam v Dean Witter Reynolds.txt,0.002797203,2002,
476,Breyer,476,US v Fior D'Italia.txt,0.003080569,2002,
58,Breyer,58,Bolivarian Republic of Venez. v Helmerich & Payne Int'l Drilling Co..txt,0.004392765,2017,
515,Breyer,515,Watson v Philip Morris Cos..txt,0.004532578,2007,
183,Breyer,183,Gallow v Cooper.txt,0.004545455,2013,
222,Breyer,222,"Hoffman Plastic Compounds, Inc. v NLRB.txt",0.004782609,2002,
485,Breyer,485,US v Lara.txt,0.004788419,2004,
67,Breyer,67,Brown v Payton.txt,0.005128205,2005,
14,Breyer,14,Alvarez v Smith.txt,0.006049822,2009,
330,Breyer,330,Mut. Pharm. Co. v Bartlett.txt,0.006153846,2013,
221,Breyer,221,Hiibel v Sixth Judicial Dist. Court.txt,0.00959596,2004,
481,Breyer,481,"US v Home Concrete & Supply, LLC.txt",0.01016129,2012,
120,Breyer,120,Cullen v Pinholster.txt,0.010869565,2011,
245,Breyer,245,Jennings v Rodriguez.txt,0.013562092,2018,
20,Breyer,20,Anza v Ideal Steel Supply Corp..txt,0.014449541,2006,
544,Breyer,544,Zivotofsky v Kerry.txt,0.015,2015,
325,Breyer,325,Morse v Frederick.txt,0.016452991,2007,
349,Breyer,349,Ocasio v US.txt,0.018055556,2016,
473,Breyer,473,US v Booker.txt,0.018272425,2005,
119,Breyer,119,Credit Suisse Sec. (USA) LLC v Billing.txt,0.020432692,2007,
518,Breyer,518,Wetzel v Lambert.txt,0.0225,2012,
161,Breyer,161,F. Hoffman-La Roche Ltd v Empagran S.A..txt,0.028955696,2004,
169,Breyer,169,Fiore v White.txt,0.031818182,1999,
49,Breyer,49,Beard v Banks.txt,0.032662539,2006,
393,Breyer,393,Richardson v McKnight.txt,0.033866279,1997,
244,Breyer,244,Jefferson County v Acker.txt,0.034110169,1999,
441,Breyer,441,Stern v Marshall.txt,0.034738041,2011,
70,Breyer,70,Bruesewitz v Wyeth LLC.txt,0.035344828,2011,
11,Breyer,11,Alleyne v US.txt,0.035810811,2013,
338,Breyer,338,"Nike, Inc. v Kasky.txt",0.03608137,2003,
125,Breyer,125,Davenport v Wash. Educ. Ass'n.txt,0.0375,2007,
126,Breyer,126,Davila v Davis.txt,0.037759336,2017,
539,Breyer,539,Ysursa v Pocatello Educ. Ass'n.txt,0.038059701,2009,
388,Breyer,388,Republic of Aus. v Altmann.txt,0.03968254,2004,
308,Breyer,308,Middleton v Florida.txt,0.040625,2018,
37,Breyer,37,Barber v Thomas.txt,0.041759777,2010,
494,Breyer,494,US v Santos.txt,0.043589744,2008,
206,Breyer,206,"Hall St. Assocs., L.L.C. v Mattel, Inc..txt",0.04375,2008,
542,Breyer,542,Ziglar v Abbasi.txt,0.043758766,2017,
179,Breyer,179,Franchise Tax Bd. v Hyatt.txt,0.043772242,2016,
216,Breyer,216,Hercules Inc. v US.txt,0.044866071,1996,
135,Breyer,135,District of Columbia v Heller.txt,0.045568401,2008,
361,Breyer,361,"Pac. Bell Tel. co. v linkLine Communs., Inc..txt",0.045714286,2009,
6,Breyer,6,Alabama v Bozeman.txt,0.046172249,2001,
82,Breyer,82,Castro v US.txt,0.046192893,2003,
107,Breyer,107,Clinton v Jones.txt,0.046985816,1997,
33,Breyer,33,Bailey v US.txt,0.047478992,2013,
240,Breyer,240,Irizarry v US.txt,0.0478125,2008,
243,Breyer,243,"Janus Capital Group, Inc. v First Derivative Traders.txt",0.048214286,2011,
406,Breyer,406,S. Cent. Bell Tel. Co. v Alabama.txt,0.048347107,1999,
445,Breyer,445,Summers v Earth Island Inst..txt,0.048847926,2009,
538,Breyer,538,Young v UPS.txt,0.049346405,2015,
248,Breyer,248,John R. Sand & Gravel Co. v US.txt,0.049837662,2008,
328,Breyer,328,Murphy v NCAA.txt,0.05,2018,
489,Breyer,489,US v Olson.txt,0.051785714,2005,
39,Breyer,39,Barnhart v Walton.txt,0.053211009,2002,
472,Breyer,472,US v Balsys.txt,0.053801843,1998,
142,Breyer,142,Dorsey v US.txt,0.057142857,2012,
334,Breyer,334,Nat'l Park Hospitality Ass'n v DOI.txt,0.057798165,2003,
475,Breyer,475,US v Comstock.txt,0.058642973,2010,
525,Breyer,525,Williams-Yulee v Fla. Bar.txt,0.059090909,2015,
483,Breyer,483,US v Kebodeaux.txt,0.059137931,2013,
59,Breyer,59,Bond v US.txt,0.059722222,2000,
277,Breyer,277,Lonchar v Thomas.txt,0.05989011,1996,
322,Breyer,322,Montana v Egelhoff.txt,0.0625,2013,
467,Breyer,467,Unite Here Local 355 v Mulhall.txt,0.062790698,2013,
91,Breyer,91,Chickasaw Nation v US.txt,0.063780919,2001,
313,Breyer,313,Miller-El v Dretke.txt,0.064390244,2005,
83,Breyer,83,"CBOCS West, Inc. v Humphries.txt",0.065061728,2008,
275,Breyer,275,Locke v Karass.txt,0.065709459,2009,
354,Breyer,354,Okla. Tax Comm'n v Jefferson Lines.txt,0.067295597,1995,
529,Breyer,529,"Winter v NRDC, Inc..txt",0.068888889,2008,
449,Breyer,449,Textron Lycoming Reciprocating Engine Div. v United Auto..txt,0.069662921,1998,
422,Breyer,422,Sell v US.txt,0.070543807,2003,
385,Breyer,385,Reed v Town of Gilbert.txt,0.07287234,2015,
408,Breyer,408,Salazar v Buono.txt,0.073099415,2010,
122,Breyer,122,Czyzewski v Jevic Holding Corp..txt,0.07473822,2017,
376,Breyer,376,Powerex Corp. v Reliant Energy Servs..txt,0.07509434,2007,
256,Breyer,256,Kelly v California.txt,0.075454545,2008,
523,Breyer,523,Williams v Illinois.txt,0.075744048,2012,
165,Breyer,165,FEC v Akins.txt,0.076066351,1998,
127,Breyer,127,Davis v US.txt,0.076556017,2011,
52,Breyer,52,Bell v Thompson.txt,0.077302632,2005,
415,Breyer,415,"SCA Hygiene Prods. Aktiebolag v First Quality Baby Prods., LLC.txt",0.077564103,2017,
521,Breyer,521,Whole Woman's Health v Hellerstedt.txt,0.078194298,2016,
68,Breyer,68,Brown v Pro Football.txt,0.078243243,1996,
212,Breyer,212,Heffernan v City of Paterson.txt,0.078398058,2016,
389,Breyer,389,Reynolds v US.txt,0.078656126,2012,
355,Breyer,355,"Oneok, Inc. v Learjet, Inc..txt",0.081709957,2015,X
416,Breyer,416,Schaffer v Weast.txt,0.081944444,2005,
31,Breyer,31,At&T Mobility LLC v Concepcion.txt,0.082242991,2011,
157,Breyer,157,Evans v Chavis.txt,0.082283465,2006,
419,Breyer,419,Schriro v Summerlin.txt,0.083098592,2004,
268,Breyer,268,Lackawanna County Dist. Atty. v Coss.txt,0.083333333,2001,
72,Breyer,72,Buford v US.txt,0.085106383,2001,
166,Breyer,166,Fed. Republic of Germany v US.txt,0.085294118,1999,
134,Breyer,134,"DIRECTV, Inc. v Imburgia.txt",0.086,2015,
164,Breyer,164,FDA v Brown & Williamson Tobacco Corp..txt,0.0864,2000,
87,Breyer,87,Chamber of Commerce of the United States v Brown.txt,0.090419162,2008,
324,Breyer,324,Morrison v Nat'l Austl. Bank Ltd..txt,0.092307692,2010,
22,Breyer,22,Apprendi v New Jersey.txt,0.092532468,2000,
302,Breyer,302,Meyer v Holley.txt,0.092572464,2003,
85,Breyer,85,Cent. Laborers' Pension Fund v Heinz.txt,0.092857143,2004,
536,Breyer,536,Yarborough v Alvarado.txt,0.095412844,2004,
15,Breyer,15,Am. Mfrs. Mut. Ins. Co. v Sullivan.txt,0.096,1999,
528,Breyer,528,Wilson v Sellers.txt,0.096958175,2018,
356,Breyer,356,Oregon v Guzek.txt,0.097594502,2006,
21,Breyer,21,AP v Dist. Court.txt,0.098333333,2004,
99,Breyer,99,"City of Littleton v Z. J. Gifts D-4, L.L.C..txt",0.099541284,2004,
397,Breyer,397,Rita v US.txt,0.100784753,2007,
246,Breyer,246,"Jerman v Carlisle, McNellie, Rini, Kramer & Ulrich, L.P.A..txt",0.101428571,2010,
491,Breyer,491,US v Playboy Emtm't Group.txt,0.101857585,2000,
175,Breyer,175,FMC v S.C. State Ports. Auth..txt,0.101946472,2002,
430,Breyer,430,Smith v A.O. Smith Corp..txt,0.102359882,1997,
298,Breyer,298,Merck & Co. v Reynolds.txt,0.102402746,2010,
403,Breyer,403,Rowe v N.H. Motor Transp. Ass'n.txt,0.104014599,2008,
38,Breyer,38,"Barnett Bank, N.A. v Nelson.txt",0.104612159,1996,
229,Breyer,229,Howell v Howell.txt,0.10625,2017,
508,Breyer,508,Vermont v Brillon.txt,0.107377049,2009,
351,Breyer,351,Ohio Forestry Ass'n v Sierra Club.txt,0.112443439,1998,
35,Breyer,35,Baldwin v Reese.txt,0.113636364,2004,
12,Breyer,12,Allied-Bruce Terminix Cos. v Dobson.txt,0.114367816,1995,
2,Breyer,2,Abrams v Johnson.txt,0.115850816,1997,
270,Breyer,270,Lapides v Bd. of Regents.txt,0.116091954,2002,
162,Breyer,162,"FCC v Fox TV Stations, Inc..txt",0.116550523,2009,
386,Breyer,386,Reno v Bossier Parish Sch. Bd. (2).txt,0.116666667,2000,
526,Breyer,526,"Williamson v Mazda Motor of Am., Inc..txt",0.117522659,2011,
224,Breyer,224,Holland v Florida.txt,0.119270833,2010,
101,Breyer,101,City of Rancho Palos Verdes v Abrams.txt,0.122,2005,
316,Breyer,316,Ministry of Def. & Support for the Armed Forces of the Islamic Republic of Iran v Elahi.txt,0.123199153,2009,
118,Breyer,118,Crawford v Marion County Election Bd..txt,0.124456522,2008,
461,Breyer,461,Truehill v Florida.txt,0.125,2017,
358,Breyer,358,Osborn v Haley.txt,0.126219512,2007,
180,Breyer,180,Free Enter. Fund v Pub. Co. Accounting Oversight Bd..txt,0.126345083,2010,
372,Breyer,372,Plaut v Spendthrift Farm.txt,0.127302632,1995,
444,Breyer,444,"Stop the Beach Renourishment, Inc. v Fla. Dep't of Envtl. Prot..txt",0.129054054,2010,
54,Breyer,54,Bilski v Kappos.txt,0.12972973,2010,
66,Breyer,66,Brown v Entm't Merchs. Ass'n.txt,0.130885529,2011,
60,Breyer,60,Boumediene v Bush.txt,0.131626506,2007,
443,Breyer,443,Stone v INS.txt,0.131726908,1995,
79,Breyer,79,Carey v Saffold.txt,0.132327586,2002,
281,Breyer,281,Magwood v Patterson.txt,0.132608696,2010,
450,Breyer,450,"The Wharf (Holdings) Ltd. v United Int'l Holdings, Inc..txt",0.132901554,2001,
219,Breyer,219,Hertz Corp. v Friend.txt,0.133294664,2010,
172,Breyer,172,"Fla. Dep't of Revenue v Piccadilly Cafeterias, Inc..txt",0.133448276,2008,
500,Breyer,500,Util. Air Regulatory Group v EPA.txt,0.133838384,2014,
464,Breyer,464,Turner v Rogers.txt,0.133840749,2011,
517,Breyer,517,West v Gibson.txt,0.134130435,1999,
421,Breyer,421,Scott v Harris.txt,0.134259259,2007,
321,Breyer,321,Mohamad v Palestinian Auth..txt,0.135,2012,
402,Breyer,402,Ross v Blake.txt,0.136842105,2016,
98,Breyer,98,City of Dallas v Dallas Fire Fighters Ass'n.txt,0.137288136,1999,
424,Breyer,424,Shalala v Ill. Council on Long Term Care.txt,0.137867647,2000,
8,Breyer,8,Ali v Fed. Bureau of Prisons.txt,0.138495575,2008,
295,Breyer,295,"Medtronic, Inc. v Lohr.txt",0.138666667,1996,
410,Breyer,410,Sanchez-Llamas v Oregon.txt,0.139537445,2006,
501,Breyer,501,Uttecht v Brown.txt,0.14,2007,
280,Breyer,280,Luis v US.txt,0.140736842,2016,
455,Breyer,455,Torres v Mullin.txt,0.143461538,2003,
459,Breyer,459,Trevino v Thaler.txt,0.144125683,2013,
265,Breyer,265,Ky. Ret. Sys. v EEOC.txt,0.144501718,2008,
182,Breyer,182,"FTC v Actavis, Inc..txt",0.145424107,2013,
439,Breyer,439,Steel Co. v Citizens for a Better Env't.txt,0.146153846,1998,
382,Breyer,382,Randall v Sorrell.txt,0.146824324,2006,
191,Breyer,191,"Global Crossing Telecomms., Inc. v Metrophones Telecomms., Inc..txt",0.148064516,2007,
348,Breyer,348,O'Sullivan v Boerckel.txt,0.148148148,1999,
185,Breyer,185,Garcia v Texas.txt,0.148165138,2011,
271,Breyer,271,League of United Latin Am. Citizens v Perry.txt,0.148611111,2006,
499,Breyer,499,Utah v Evans.txt,0.1487,2002,
341,Breyer,341,NLRB v Town & Country Elec..txt,0.148993289,1995,
16,Breyer,16,"Am. Tradition P'ship, Inc. v Bullock.txt",0.151515152,2010,
53,Breyer,53,BG Group PLC v Republic of Arg..txt,0.153631961,2014,
488,Breyer,488,US v Morrison.txt,0.153846154,2000,
367,Breyer,367,Petrella v MGM.txt,0.156160458,2014,
289,Breyer,289,McDonald v City of Chicago.txt,0.157463592,2010,
26,Breyer,26,Armour v City of Indianapolis.txt,0.159480519,2012,
171,Breyer,171,Fitzgerald v Racing Ass'n.txt,0.1603125,2003,
447,Breyer,447,"Teva Pharms. USA, Inc. v Sandoz, Inc..txt",0.16039823,2015,
319,Breyer,319,Missouri v Seibert.txt,0.160810811,2004,
543,Breyer,543,Zivotofsky v Clinton.txt,0.162545455,2012,
132,Breyer,132,Denver Area Educ. Telcoms. Consortium v FCC.txt,0.163488372,1996,
217,Breyer,217,Hernandez v Mesa.txt,0.164110429,2003,
418,Breyer,418,Schenck v Pro-Choice Network of W. N.Y..txt,0.16442953,1997,
392,Breyer,392,Rice v Collins.txt,0.165,2006,
365,Breyer,365,Pepper v US.txt,0.165106383,2011,
168,Breyer,168,Fifth Third Bancorp v Dudenhoeffer.txt,0.167732558,2014,
498,Breyer,498,US v Winstar Corp..txt,0.167741935,1996,
279,Breyer,279,Lozman v City of Riviera Beach.txt,0.169953052,2013,
249,Breyer,249,Johnson v California.txt,0.17,2005,
493,Breyer,493,US v Ruiz.txt,0.170990566,2002,
400,Breyer,400,Roe v Flores-Ortega.txt,0.171428571,2000,
340,Breyer,340,NLRB v Canning.txt,0.17230997,2014,
148,Breyer,148,E. Enters v Apfel.txt,0.172762148,1998,
486,Breyer,486,US v Lopez.txt,0.173410405,1995,
326,Breyer,326,Morse v Republican Party.txt,0.17414966,1996,
111,Breyer,111,Colo. Republican Fed. Campaign Comm. v FEC.txt,0.177173913,1996,
383,Breyer,383,Rapanos v US.txt,0.178125,2006,
250,Breyer,250,Johnson v Jones.txt,0.18006993,1995,
533,Breyer,533,Wos v E.M.A..txt,0.181382979,2013,
106,Breyer,106,Clinton v City of New York.txt,0.182232012,1998,
511,Breyer,511,"Walker v Tex. Div., Sons of Confederate Veterans, Inc..txt",0.182429907,2015,
496,Breyer,496,US v United Foods.txt,0.182659933,2001,
203,Breyer,203,Green Tree Fin. Corp. v Bazzle.txt,0.183937824,2003,
170,Breyer,170,"First Options of Chicago, Inc. v Kaplan.txt",0.187634409,1995,
160,Breyer,160,Exxon Shipping Co. v Baker.txt,0.188297872,2008,
435,Breyer,435,Sosa v Alvarez-Machain.txt,0.190769231,2004,
401,Breyer,401,Rogers v Tennessee.txt,0.191071429,2001,
28,Breyer,28,Ashcroft v ACLU (2).txt,0.191122715,2004,
133,Breyer,133,Dickinson v Zurko.txt,0.191269841,1999,
514,Breyer,514,"Watchtower Bible & Tract Soc'y of N.Y., Inc. v Vill. of Stratton.txt",0.191891892,2002,
479,Breyer,479,US v Hatter.txt,0.192650334,2001,
470,Breyer,470,US v Am. Library Ass'n.txt,0.192816092,2003,
228,Breyer,228,Horne v Flores.txt,0.193252595,2009,
65,Breyer,65,Brosseau v Haugen.txt,0.193333333,2004,
545,Breyer,545,Zuni Pub. Sch. Dist. No. 89 v Dep't of Educ..txt,0.194444444,2007,
76,Breyer,76,Cal. Dental Ass'n v FTC.txt,0.194620253,1999,
474,Breyer,474,US v Brockamp.txt,0.194656489,1997,
205,Breyer,205,Gross v FBL Fin. Servs..txt,0.195283019,2009,
436,Breyer,436,Sprint Communs. Co. L.P. v APCC Servs..txt,0.196983547,2008,
