,Author,File_ID,File_Name,Mean Sentiment,Year,
116,Breyer,116,Nat'l Park Hospitality Ass'n v DOI.txt,0.057798165,2003,
22,Breyer,22,Bond v US.txt,0.059722222,2000,
111,Breyer,111,Montana v Egelhoff.txt,0.0625,2013,
159,Breyer,159,Unite Here Local 355 v Mulhall.txt,0.062790698,2013,
120,Breyer,120,Okla. Tax Comm'n v Jefferson Lines.txt,0.067295597,1995,
137,Breyer,137,Salazar v Buono.txt,0.073099415,2010,
127,Breyer,127,Powerex Corp. v Reliant Energy Servs..txt,0.07509434,2007,
91,Breyer,91,Kelly v California.txt,0.075454545,2008,
43,Breyer,43,Davis v US.txt,0.076556017,2011,
19,Breyer,19,Bell v Thompson.txt,0.077302632,2005,
142,Breyer,142,"SCA Hygiene Prods. Aktiebolag v First Quality Baby Prods., LLC.txt",0.077564103,2017,
143,Breyer,143,Schaffer v Weast.txt,0.081944444,2005,
11,Breyer,11,At&T Mobility LLC v Concepcion.txt,0.082242991,2011,
144,Breyer,144,Schriro v Summerlin.txt,0.083098592,2004,
96,Breyer,96,Lackawanna County Dist. Atty. v Coss.txt,0.083333333,2001,
58,Breyer,58,Fed. Republic of Germany v US.txt,0.085294118,1999,
57,Breyer,57,FDA v Brown & Williamson Tobacco Corp..txt,0.0864,2000,
29,Breyer,29,Chamber of Commerce of the United States v Brown.txt,0.090419162,2008,
7,Breyer,7,Apprendi v New Jersey.txt,0.092532468,2000,
177,Breyer,177,Yarborough v Alvarado.txt,0.095412844,2004,
166,Breyer,166,US v Playboy Emtm't Group.txt,0.101857585,2000,
62,Breyer,62,FMC v S.C. State Ports. Auth..txt,0.101946472,2002,
171,Breyer,171,Vermont v Brillon.txt,0.107377049,2009,
1,Breyer,1,Abrams v Johnson.txt,0.115850816,1997,
55,Breyer,55,"FCC v Fox TV Stations, Inc..txt",0.116550523,2009,
132,Breyer,132,Reno v Bossier Parish Sch. Bd. (2).txt,0.116666667,2000,
40,Breyer,40,Crawford v Marion County Election Bd..txt,0.124456522,2008,
63,Breyer,63,Free Enter. Fund v Pub. Co. Accounting Oversight Bd..txt,0.126345083,2010,
25,Breyer,25,Brown v Entm't Merchs. Ass'n.txt,0.130885529,2011,
23,Breyer,23,Boumediene v Bush.txt,0.131626506,2007,
150,Breyer,150,Stone v INS.txt,0.131726908,1995,
60,Breyer,60,"Fla. Dep't of Revenue v Piccadilly Cafeterias, Inc..txt",0.133448276,2008,
3,Breyer,3,Ali v Fed. Bureau of Prisons.txt,0.138495575,2008,
139,Breyer,139,Sanchez-Llamas v Oregon.txt,0.139537445,2006,
170,Breyer,170,Uttecht v Brown.txt,0.14,2007,
118,Breyer,118,O'Sullivan v Boerckel.txt,0.148148148,1999,
65,Breyer,65,Garcia v Texas.txt,0.148165138,2011,
5,Breyer,5,"Am. Tradition P'ship, Inc. v Bullock.txt",0.151515152,2010,
164,Breyer,164,US v Morrison.txt,0.153846154,2000,
124,Breyer,124,Petrella v MGM.txt,0.156160458,2014,
102,Breyer,102,McDonald v City of Chicago.txt,0.157463592,2010,
180,Breyer,180,Zivotofsky v Clinton.txt,0.162545455,2012,
76,Breyer,76,Hernandez v Mesa.txt,0.164110429,2003,
49,Breyer,49,E. Enters v Apfel.txt,0.172762148,1998,
163,Breyer,163,US v Lopez.txt,0.173410405,1995,
131,Breyer,131,Rapanos v US.txt,0.178125,2006,
36,Breyer,36,Clinton v City of New York.txt,0.182232012,1998,
169,Breyer,169,US v United Foods.txt,0.182659933,2001,
133,Breyer,133,Rogers v Tennessee.txt,0.191071429,2001,
10,Breyer,10,Ashcroft v ACLU (2).txt,0.191122715,2004,
83,Breyer,83,Horne v Flores.txt,0.193252595,2009,
71,Breyer,71,Gross v FBL Fin. Servs..txt,0.195283019,2009,
95,Breyer,95,"Lab. Corp. of Am. Holdings v Metabolite Labs., Inc..txt",0.198621554,2006,
80,Breyer,80,Holder v Humanitarian Law Project.txt,0.199617737,2010,
147,Breyer,147,Sorrell v IMS Health Inc..txt,0.200079491,2011,
59,Breyer,59,Field v Mans.txt,0.207954545,1995,
178,Breyer,178,Zelman v Simmons-Harris.txt,0.212445415,2002,
39,Breyer,39,Conkright v Frommert.txt,0.21713948,2010,
105,Breyer,105,Medellin v Texas.txt,0.219235437,2008,
94,Breyer,94,"Knox v SEIU, Local 1000.txt",0.221629213,2012,
34,Breyer,34,City of Monroe v US.txt,0.222083333,1997,
13,Breyer,13,Baker Botts L.L.P. v ASARCO LLC.txt,0.222361809,2015,
125,Breyer,125,Phillips v Wash. Legal Found..txt,0.227570093,1998,
109,Breyer,109,Milner v Dep't of the Navy.txt,0.227966102,2011,
121,Breyer,121,Ortiz v Fibreboard Corp..txt,0.237671233,1999,
101,Breyer,101,McCutcheon v FEC.txt,0.238844622,2014,
123,Breyer,123,Parents Involved in Cmty. Sch. v Seattle Sch. Dist. No. 1.txt,0.24278058,2007,
129,Breyer,129,Puerto Rico v Sanchez Valle.txt,0.242837466,2016,
146,Breyer,146,Sims v Apfel.txt,0.245794393,2000,
172,Breyer,172,Vieth v Jubelirer.txt,0.250195313,2004,
53,Breyer,53,"Empire HealthChoice Assur., Inc. v McVeigh.txt",0.253088235,2006,
64,Breyer,64,Garcetti v Ceballos.txt,0.253146853,2006,
85,Breyer,85,"Intel Corp. v Advanced Micro Devices, Inc..txt",0.25390625,2004,
141,Breyer,141,"SAS Inst., Inc. v Iancu.txt",0.255288462,2018,
97,Breyer,97,"Leegin Creative Leather Prods. v PSKS, Inc..txt",0.256086957,2007,
2,Breyer,2,Air Line Pilots Ass'n v Miller.txt,0.2576,1998,
37,Breyer,37,College Sav. Bank v Fla. Prepaid Postsecondary Educ. Expense Bd..txt,0.258791209,1999,
18,Breyer,18,Behrens v Pelletier.txt,0.262645914,1996,
157,Breyer,157,Town of Greece v Galloway.txt,0.275728155,2014,
110,Breyer,110,Mobil Oil Exploration & Producing Southeast v US.txt,0.281388889,2000,
38,Breyer,38,Comm'r v Estate of Hubert.txt,0.283802817,1997,
107,Breyer,107,Miller v Albright.txt,0.283814433,1998,
104,Breyer,104,Medellin v Texas (2).txt,0.290625,2008,
8,Breyer,8,Arizona v Gant.txt,0.294642857,2009,
92,Breyer,92,Kerry v Din.txt,0.301219512,2015,
24,Breyer,24,Breard v Greene.txt,0.304545455,1998,
155,Breyer,155,Thompson v W. States Med. Ctr..txt,0.313461538,2002,
28,Breyer,28,Bush v Gore.txt,0.315567766,2000,
103,Breyer,103,Medellin v Dretke.txt,0.322916667,2005,
128,Breyer,128,Printz v US.txt,0.326984127,1997,
81,Breyer,81,Hollingsworth v Perry (2).txt,0.333726415,2010,
9,Breyer,9,Arlington Cent. Sch. Dist. Bd. of Educ. v Murphy.txt,0.335334873,2006,
115,Breyer,115,Nat'l Ass'n of Home Builders v Defenders of Wildlife.txt,0.34,2007,
134,Breyer,134,Rubin v US.txt,0.357317073,1998,
21,Breyer,21,Boggs v Boggs.txt,0.364855072,1997,
156,Breyer,156,Tome v US.txt,0.366923077,1995,
32,Breyer,32,Christopher v SmithKline Beecham Corp..txt,0.367961165,2012,
87,Breyer,87,"J.E.M. Ag Supply, Inc. v Pioneer Hi-Bred Int'l, Inc..txt",0.381862745,1999,
148,Breyer,148,"Star Athletica, L.L.C. v Varsity Brands, inc..txt",0.388446215,2017,
16,Breyer,16,Bd. of Trs. of the Leland Stanford Junior Univ. v Roche Molecular Sys..txt,0.42255814,2011,
69,Breyer,69,Golan v Holder.txt,0.429926335,2012,
119,Breyer,119,Office of the President v Office of Indep. Counsel.txt,0.446666667,1998,
51,Breyer,51,Eldred v Ashcroft.txt,0.472762646,2003,
152,Breyer,152,Sutton v United Air Lines.txt,0.543333333,1999,
99,Breyer,99,Maryland v Dyson.txt,0.55,2013,
33,Breyer,33,City of Boerne v Flores.txt,0.5875,1997,
14,Breyer,14,Bartlett v Stickland.txt,0.589333333,2009,
122,Breyer,122,Palazzolo v Rhode Island.txt,0.595652174,2001,
31,Breyer,31,Christensen v Harris County.txt,0.7140625,2000,
243,Ginsburg,63,Kawashima v Holder.txt,-0.632995951,2012,
200,Ginsburg,20,Carter v US.txt,-0.553846154,2000,
192,Ginsburg,12,Breard v Greene.txt,-0.5,1998,
187,Ginsburg,7,Baze v Rees.txt,-0.357167832,2008,
242,Ginsburg,62,Jones v US.txt,-0.354117647,1999,
225,Ginsburg,45,Gebser v Lago Vista Indep. Sch. Dist..txt,-0.3,1998,
280,Ginsburg,100,Romano v Oklahoma.txt,-0.266089109,1994,
201,Ginsburg,21,Cavazos v Smith.txt,-0.221698113,2011,
211,Ginsburg,31,Conrail v Gottshall.txt,-0.201461039,1994,
272,Ginsburg,92,Philip Morris USA v Williams.txt,-0.19609375,2007,
264,Ginsburg,84,Nichols v US.txt,-0.191176471,1994,
282,Ginsburg,102,Sattazahn v Pennsylvania.txt,-0.190804598,2003,
270,Ginsburg,90,Pasquantino v US.txt,-0.162756598,2005,
300,Ginsburg,120,Washington v Recuenco.txt,-0.152464789,2006,
294,Ginsburg,114,Univ. of Texas Southwestern Med. Ctr. v Nassar.txt,-0.149584488,2013,
292,Ginsburg,112,State Farm Mut. Auto. Ins. Co. v Campbell.txt,-0.136519608,2003,
235,Ginsburg,55,Herring v US.txt,-0.116782007,2009,
259,Ginsburg,79,Minneci v Pollard.txt,-0.114285714,2012,
229,Ginsburg,49,Gray v Netherland.txt,-0.113846154,1996,
239,Ginsburg,59,Illinois v Caballes.txt,-0.109205776,2005,
238,Ginsburg,58,Honda Motor Co. v Oberg.txt,-0.104985337,1994,
218,Ginsburg,38,Doe v Chao.txt,-0.096428571,2004,
190,Ginsburg,10,BMW of N. Am. v Gore.txt,-0.089095745,1996,
256,Ginsburg,76,Michigan v Bryant.txt,-0.086842105,2011,
268,Ginsburg,88,Padilla v Hanft.txt,-0.075806452,2006,
289,Ginsburg,109,Smith v Doe.txt,-0.074358974,2003,
210,Ginsburg,30,Connick v Thompson.txt,-0.072176591,2011,
213,Ginsburg,33,"Cooper Indus. v Leatherman Tool Group, Inc..txt",-0.062983425,2001,
214,Ginsburg,34,"CSX Transp., Inc. v Hensley.txt",-0.059375,2009,
234,Ginsburg,54,Hartman v Moore.txt,-0.052631579,2006,
255,Ginsburg,75,Michigan v Bay Mills Indian Cmty..txt,-0.042857143,2014,
261,Ginsburg,81,Missouri v Jenkins.txt,-0.041525424,1995,
286,Ginsburg,106,Sec. Servs. v Kmart Corp..txt,-0.039208633,1994,
273,Ginsburg,93,Pliler v Ford.txt,-0.036904762,2004,
249,Ginsburg,69,Ledbetter v Goodyear Tire & Rubber Co..txt,-0.033305648,2007,
285,Ginsburg,105,Schwab v Reilly.txt,-0.032727273,2010,
271,Ginsburg,91,Patterson v Texas.txt,-0.027272727,2002,
290,Ginsburg,110,Smith v Massachusetts.txt,-0.018934911,2005,
244,Ginsburg,64,Kentucky v King.txt,-0.017602041,2011,
247,Ginsburg,67,Kowalski v Tesmer.txt,-0.011846154,2004,
199,Ginsburg,19,Carmell v Texas.txt,8.98E-05,2000,
248,Ginsburg,68,Lawrence v Florida.txt,0.001690821,2007,
263,Ginsburg,83,Muscarello v US.txt,0.006872852,1998,
208,Ginsburg,28,Comptroller of the Treasury v Wynne.txt,0.010639777,2015,
297,Ginsburg,117,Vance v Ball State Univ..txt,0.014438944,2013,
299,Ginsburg,119,Wagnon v Prairie Band Potawatomi Nation.txt,0.016726944,2005,
233,Ginsburg,53,Gustafson v Alloyd Co..txt,0.019323671,1995,
231,Ginsburg,51,"Grupo Dataflux v Atlas Global Group, L.P..txt",0.021052632,2004,
298,Ginsburg,118,Veasey v Perry.txt,0.022981366,2014,
227,Ginsburg,47,Gonzales v Carhart.txt,0.023469388,2007,
215,Ginsburg,35,CTS Corp. v Waldburger.txt,0.024074074,2014,
186,Ginsburg,6,AT&T Corp. v Hulteen.txt,0.032515991,2009,
281,Ginsburg,101,Sandin v Conner.txt,0.033035714,1995,
207,Ginsburg,27,Comcast Corp. v Behrend.txt,0.033657588,2013,
185,Ginsburg,5,Arizona v Evans.txt,0.033877551,1995,
222,Ginsburg,42,"FCC v Fox TV Stations, Inc..txt",0.034126984,2009,
197,Ginsburg,17,"Cal. Pub. Employees' Ret. Sys. v ANZ Sec., Inc..txt",0.04009434,2017,
216,Ginsburg,36,"DIRECTV, Inc. v Imburgia.txt",0.040144231,2015,
206,Ginsburg,26,Coleman v Court of Appeals.txt,0.040860215,2012,
220,Ginsburg,40,Exxon Mobile Corp. v Allapattah Servs..txt,0.04738676,2005,
183,Ginsburg,3,American Ins. Assn. v Garamendi.txt,0.054151625,2003,
284,Ginsburg,104,Schindler Elevator Corp. v United States ex rel. Kirk.txt,0.068125,2011,
194,Ginsburg,14,Burlington Northern & Santa Fe Ry. v US.txt,0.068584071,2009,
223,Ginsburg,43,Fernandez v California.txt,0.068865435,2014,
291,Ginsburg,111,"Spokeo, Inc. v Robins.txt",0.072395833,2016,
252,Ginsburg,72,Maracich v Spears.txt,0.076102088,2013,
253,Ginsburg,73,McMillian v Monroe County.txt,0.07804878,1997,
241,Ginsburg,61,John R. Sand & Gravel Co. v US.txt,0.080536913,2008,
279,Ginsburg,99,"Riegel v Medtronic, Inc..txt",0.083482143,2008,
287,Ginsburg,107,"Shady Grove Orthopedic Assocs., P.A. v Allstate Ins. Co..txt",0.085242031,2010,
188,Ginsburg,8,Bd. of Educ. v Earls.txt,0.103,2002,
274,Ginsburg,94,Portuondo v Agard.txt,0.108333333,2000,
228,Ginsburg,48,Gratz v Bollinger.txt,0.108988764,2003,
236,Ginsburg,56,Holder v Hall.txt,0.110606061,1994,
237,Ginsburg,57,"Holster v Gatco, Inc..txt",0.115178571,2010,
189,Ginsburg,9,Beard v Banks.txt,0.126470588,2006,
258,Ginsburg,78,Miller v Johnson.txt,0.126972281,1995,
203,Ginsburg,23,City of Chi. v Int'l College of Surgeons.txt,0.127628362,1997,
202,Ginsburg,22,Cheney v United States Dist. Court.txt,0.13699422,2004,
240,Ginsburg,60,"J. McIntyre Mach., Ltd. v Nicastro.txt",0.137552301,2011,
191,Ginsburg,11,Bowersox v Williams.txt,0.14,1996,
219,Ginsburg,39,Dusenbery v US.txt,0.141324201,2002,
288,Ginsburg,108,Shelby County v Holder.txt,0.144365427,2013,
181,Ginsburg,1,Adarand Constructors v Pena.txt,0.146825397,1995,
262,Ginsburg,82,Montanile v Bd. of Trs. of the Nat'l Elevator Indus. Health Ben. Plan.txt,0.147619048,2002,
267,Ginsburg,87,North Carolina v League of Women Voters.txt,0.153333333,2014,
182,Ginsburg,2,Agostini v Felton.txt,0.156557377,1997,
301,Ginsburg,121,"Winter v NRDC, Inc..txt",0.15976431,2008,
205,Ginsburg,25,"Coeur Alaska, Inc. v Southeast Alaska Conservation Council.txt",0.163507109,2009,
296,Ginsburg,116,US v Tohono O'odham Nation.txt,0.170408163,2011,
269,Ginsburg,89,Palazzo v Rhode Island.txt,0.174178404,2001,
277,Ginsburg,97,Ricci v DeStefano.txt,0.179082569,2009,
293,Ginsburg,113,Stolt-Nielsen S.A. v AnimalFeeds Int'l Corp..txt,0.179464286,2010,
260,Ginsburg,80,Minnesota v Carter.txt,0.180421687,1998,
246,Ginsburg,66,"Kouichi Taniguchi v Kan Pac. Saipan, Ltd..txt",0.181746032,1997,
275,Ginsburg,95,"Republic of Arg. v NML Capital, Ltd..txt",0.185294118,2014,
196,Ginsburg,16,Bush v Gore.txt,0.192015209,2000,
245,Ginsburg,65,"Kirtsaeng v John Wiley & Sons, Inc..txt",0.195427196,2013,
195,Ginsburg,15,"Burwell v Hobby Lobby Stores, Inc..txt",0.201097804,2014,
250,Ginsburg,70,Lunding v New York Tax Appeals Tribunal.txt,0.219366197,1998,
209,Ginsburg,29,CompuCredit Corp. v Greenwood.txt,0.225510204,2012,
204,Ginsburg,24,"Clackamas Gastroenterology Assocs., P.C. v Wells.txt",0.232967033,2003,
254,Ginsburg,74,Medellin v Texas.txt,0.235,2008,
226,Ginsburg,46,Gobeille v Liberty Mut. Ins. Co..txt,0.241928251,2016,
193,Ginsburg,13,Buckhannon Bd. & Care Home v W. Va. Dep't of Health & Human Res..txt,0.245288754,2001,
198,Ginsburg,18,Capitol Square Review & Advisory Bd. v Pinette.txt,0.263953488,1995,
184,Ginsburg,4,Amoco Prod. Co. v S. Ute Indian Tribe.txt,0.283333333,1999,
232,Ginsburg,52,Grupo Mexicano De Desarrollo v Alliance Bond Fund.txt,0.289862543,1999,
224,Ginsburg,44,Fisher v Univ. of Texas.txt,0.299137931,2013,
295,Ginsburg,115,US v Balsys.txt,0.311111111,1998,
251,Ginsburg,71,Manrique v US.txt,0.319827586,2017,
276,Ginsburg,96,Republican Party v White.txt,0.324681934,2002,
283,Ginsburg,103,Schaffer v Weast.txt,0.337062937,2005,
257,Ginsburg,77,Miller v Albright.txt,0.362264151,1998,
212,Ginsburg,32,Cooper Indus. v Availl Servs..txt,0.406976744,2004,
230,Ginsburg,50,Great-West Life & Annuity Ins. Co. v Knudson.txt,0.43045977,2002,
266,Ginsburg,86,Norfolk S. Ry. v Shanklin.txt,0.4484375,2000,
221,Ginsburg,41,Farhi Saeed Bin Mohammed v Obama.txt,0.47,2009,
278,Ginsburg,98,Rice v Cayetano.txt,0.511538462,2000,
265,Ginsburg,85,NLRB v Health Care & Ret. Corp. of Am..txt,0.598916968,1994,
217,Ginsburg,37,DOC v United States House of Representatives.txt,0.79,1999,
371,Kennedy,70,"Nike, Inc. v Kasky.txt",-0.7,2003,
350,Kennedy,49,Jones v US.txt,-0.334382872,1999,
304,Kennedy,3,Alexander v US.txt,-0.310287081,1993,
346,Kennedy,45,James v Illinois.txt,-0.25327381,1990,
382,Kennedy,81,Stogner v California.txt,-0.249154589,2003,
387,Kennedy,86,US v Bajakajian.txt,-0.231612903,1998,
326,Kennedy,25,Clark v Arizona.txt,-0.203225806,2006,
347,Kennedy,46,"Jerman v Carlisle, McNellie, Rini, Kramer & Ulrich, L.P.A..txt",-0.18360161,2010,
328,Kennedy,27,Davis v Monroe County Bd. of Educ..txt,-0.153500898,1999,
333,Kennedy,32,Foucha v Louisiana.txt,-0.141587302,1992,
355,Kennedy,54,Lewis v US (2).txt,-0.117647059,1998,
318,Kennedy,17,Calderon v Thompson.txt,-0.100098039,1998,
336,Kennedy,35,Groh v Ramirez.txt,-0.098136646,2004,
322,Kennedy,21,"Chambers v NASCO, Inc..txt",-0.083507853,1991,
327,Kennedy,26,Cunningham v California.txt,-0.083333333,2007,
394,Kennedy,93,Williams v US.txt,-0.08,1991,
399,Kennedy,98,Zadvydas v Davis.txt,-0.078381643,2001,
305,Kennedy,4,Ali v Fed. Bureau of Prisons.txt,-0.078193146,2008,
393,Kennedy,92,Wilkinson v Dotson.txt,-0.076102941,2005,
358,Kennedy,57,Magwood v Patterson.txt,-0.065434084,2010,
390,Kennedy,89,US v Watts.txt,-0.060526316,1997,
306,Kennedy,5,American Dredging Co. v Miller.txt,-0.056313131,1994,
379,Kennedy,78,Rompilla v Beard.txt,-0.052531646,2005,
389,Kennedy,88,US v IBM.txt,-0.05157385,1996,
321,Kennedy,20,Chadbourne & Parke LLP v Troice.txt,-0.040617849,2014,
364,Kennedy,63,Mid-Con Freight Sys. v Mich. PSC.txt,-0.036036036,2005,
376,Kennedy,75,Richardson v US.txt,-0.029756098,1999,
341,Kennedy,40,Hirsh v Atlanta.txt,-0.021428571,1990,
334,Kennedy,33,"Global-Tech Appliances, Inc. v SEB S.A..txt",-0.018556701,2011,
397,Kennedy,96,Young v UPS.txt,-0.013768116,2015,
339,Kennedy,38,Hibbs v Winn.txt,-0.012393162,2004,
362,Kennedy,61,Melendez-Diaz v Massachusetts.txt,-0.004274809,2009,
307,Kennedy,6,Ariz. Christian Sch. Tuition Org. v Winn.txt,0.004209622,2011,
331,Kennedy,30,"Eli Lilly & Co. v Medtronic, Inc..txt",0.016901408,1990,
370,Kennedy,69,"Newman-Green, Inc. v Alfonzo-Larrain.txt",0.025308642,1989,
330,Kennedy,29,Dep't of Revenue v Davis.txt,0.028756477,2008,
310,Kennedy,9,Barber v Thomas.txt,0.038120567,2010,
353,Kennedy,52,"Lampf, Pleva, Lipkind, Prupis & Petigrow v Gilbertson.txt",0.04389313,1991,
374,Kennedy,73,Price Waterhouse v Hopkins.txt,0.051964286,1989,
366,Kennedy,65,Morse v Republican Party.txt,0.062337662,1996,
308,Kennedy,7,Arizona v Roberson.txt,0.066990291,1988,
356,Kennedy,55,Luis v US.txt,0.068337408,2016,
368,Kennedy,67,Nev. Dep't of Human Res. v Hibbs.txt,0.077896341,2003,
352,Kennedy,51,Ky. Ret. Sys. v EEOC.txt,0.081408451,2008,
325,Kennedy,24,Citizens United v FEC.txt,0.083488499,2010,
360,Kennedy,59,Masson v New Yorker Magazine.txt,0.086068376,1991,
354,Kennedy,53,Lee v Kemna.txt,0.090024331,2002,
319,Kennedy,18,Camreta v Greene.txt,0.100842697,2011,
340,Kennedy,39,Hill v Colorado.txt,0.101772526,2000,
375,Kennedy,74,Republic of Aus. v Altmann.txt,0.104037801,2004,
311,Kennedy,10,Bennis v Michigan.txt,0.11125,1996,
357,Kennedy,56,Mackey v Lanier Collection Agency & Serv..txt,0.123039216,1988,
385,Kennedy,84,United Steelworks of America v Rawson.txt,0.125757576,1990,
388,Kennedy,87,"US v Home Concrete & Supply, LLC.txt",0.131016043,2012,
315,Kennedy,14,Bullcoming v New Mexico.txt,0.13238255,2011,
317,Kennedy,16,"Bus. Guides, Inc. v Chromatic Communs. Enters..txt",0.139751553,1991,
313,Kennedy,12,Braswell v US.txt,0.146625767,1988,
363,Kennedy,62,Metro Broad v FCC.txt,0.15412844,1990,
381,Kennedy,80,Stenberg v Carhart.txt,0.15701581,2000,
384,Kennedy,83,United States Dep't of Treasury v Fabe.txt,0.160778443,1993,
309,Kennedy,8,Austin v Mich. State Chamber of Commerce.txt,0.181345566,1990,
386,Kennedy,85,US v 92 Buena Vista Ave..txt,0.186111111,1993,
332,Kennedy,31,Fla. Bar v Went for It.txt,0.19195122,1995,
349,Kennedy,48,Johnson v US (2).txt,0.200301205,2005,
320,Kennedy,19,Carey v Saffold.txt,0.200480769,2002,
303,Kennedy,2,Alaska Dep't of Envtl. Conservation v EPA.txt,0.208419689,2004,
365,Kennedy,64,MIller v Johnson.txt,0.218566775,1995,
338,Kennedy,37,Harris v Reed.txt,0.220804196,1989,
351,Kennedy,50,Keeney v Tamayo-Reyes.txt,0.222,1992,
348,Kennedy,47,Johanns v Livestock Mktg. Ass'n.txt,0.225,2005,
396,Kennedy,95,"Wisconsin Dep't of Revenue v William Wrigley, Jr., Co..txt",0.233578431,1992,
369,Kennedy,68,"New Process Steel, L.P. v NLRB.txt",0.235991379,2010,
342,Kennedy,41,Hollingsworth v Perry.txt,0.254754098,2013,
398,Kennedy,97,Youngblood v West Virginia.txt,0.255555556,2006,
